Accession Number,Gene Name
AAC73693.1,fepB
AAC76785.1,rhlB
AAC74295.1,prfA
AAC73540.1,clpP
AAC74737.1,ydhR
AAC73342.1,gpt
AAC75643.1,rluD
AAC74897.1,kdgR
AAC74902.2,msrC
AAC76584.1,glyQ
AAC73341.1,pepD
AAC75547.1,bepA
AAC75877.1,lysA
AAC75708.1,gabD
AAC74496.1,ydcF
AAC76210.1,ftsH
AAC73840.1,ybgS
AAC75659.1,ffh
AAC73847.1,modF
AAC73836.1,cpoB
AAC74494.1,azoR
AAC75346.2,nuoC
AAC75400.1,sixA
AAT48227.1,ubiE
AAC74264.1,ycgM
AAC76693.1,ilvN
AAC75622.1,lepA
AAC74989.1,fliA
AAC75292.1,ubiG
AAC73898.1,glnH
AAC75164.1,thiD
AAC75097.1,glf
AAC73347.1,proA
AAC75586.1,suhB
AAC76453.1,glgP
AAC75939.1,bglA
AAC76906.1,fpr
AAC76307.1,tsaC
AAC75731.1,emrR
AAC73346.1,proB
AAC74214.1,phoP
AAC77025.1,aphA
AAC75033.1,hchA
AAC73279.1,map
AAC75051.1,ldtA
AAC73139.1,fkpB
AAC74314.1,purU
AAC74260.1,minC
AAC76614.1,selB
AAC73460.2,frmR
AAC73489.1,proC
AAC73608.1,allR
AAC76381.1,yhfA
AAC75938.1,yqfB
ABD18701.1,yheV
AAC74763.1,aroD
AAC75269.1,eco
AAC75788.1,ispF
AAC74415.1,uspE
AAC76013.1,glcG
AAC75873.1,tas
AAC73254.2,pcnB
AAC74952.1,cheY
AAC73324.1,ivy
AAC73432.1,yahO
AAC74031.1,pyrD
AAC73977.2,lolA
AAC73427.1,yahJ
AAC73957.1,ltaE
AAC76163.1,prlF
AAC77348.1,ytjC
AAC73544.1,ppiD
AAC75326.1,elaB
AAC76269.1,argR
AAC74049.2,mgsA
AAC76816.1,uvrD
AAC76425.1,hslR
AAC74013.1,gloC
AAC73583.1,ybaK
AAC73494.1,ppnP
AAC75385.1,yfcL
REVERSE_AAC77305.1,yfcL
AAD13449.1,dtd
AAC74683.1,fumC
AAC73915.1,iaaA
AAC76196.2,deaD
AAC73899.1,dps
AAC73694.1,entC
AAC75468.1,ptsH
AAC76506.1,nikR
AAC74191.1,nagZ
AAC75735.1,gshA
AAC73582.1,ushA
AAC75985.2,yqgE
AAC74087.1,agp
AAC75347.1,nuoB
AAC77171.1,cysQ
AAT48124.1,yaeP
AAC76060.1,ygiW
AAC74162.1,flgG
AAC74065.1,appA
AAC74462.1,ldhA
AAC73925.2,gstB
AAC75375.1,folC
AAC75646.1,raiA
AAC75518.1,tktB
AAC77011.2,plsB
AAC76943.1,oxyR
AAC74333.2,yciI
AAC75620.1,rnc
AAC77024.1,tyrB
AAC74853.1,yeaG
AAC77107.1,efp
AAT48170.1,tdcE
AAC77132.1,hflC
AAC73733.1,dacA
AAC74261.1,ycgJ
AAC77130.1,hflX
AAC73511.1,secD
AAC75403.2,yfcZ
AAC75948.1,zapA
AAC77136.2,rnr
AAC76090.1,ygiF
AAC73353.1,ykfB
AAC75856.2,amiC
AAC74691.1,hdhA
AAC74359.1,ribA
AAC74154.1,flgN
AAC74512.1,tehB
AAC74973.2,yecJ
AAC73565.1,acrA
AAC76834.1,udp
AAC75244.1,rsuA
AAC73231.1,speD
AAC73914.1,moeA
AAC76764.1,mnmG
AAC74560.1,ddpA
AAT48129.1,oppD
AAC77192.1,tldE
AAC73909.1,ybiV
AAC76551.2,kdgK
AAC76992.1,rluF
AAC76441.1,malQ
AAC73491.1,aroL
AAC74674.1,pntB
AAC74204.2,pntB
AAC75354.2,yfbU
AAC73199.1,murD
AAC74282.4,dhaM
AAC74997.1,yedF
AAC74008.1,mukF
AAC76219.1,ispB
AAC74655.1,ynfB
AAC74426.1,ttcA
AAC76224.1,mlaC
AAC74656.1,speG
AAC75174.2,mrp
AAC76684.1,nlpA
AAC75073.1,tsuB
AAC76265.2,zapG
AAC77305.1,hsdM
AAC76200.1,truB
AAC73535.1,cyoA
AAC73553.1,glnK
AAC73738.2,rsfS
AAC76720.1,yidA
AAC73140.1,ispH
AAC74980.2,uvrC
AAC74813.1,spy
AAC73771.1,nagA
AAC76148.2,tdcF
AAC75712.1,kbp
AAC73189.1,ilvH
AAC77039.1,acs
AAC74255.2,ymgD
AAT48235.1,cpxP
AAC74752.1,sufC
AAC76736.1,yieF
AAC73818.1,sdhB
AAC77019.3,dusA
AAC74009.2,mukE
AAC74034.1,rlmL
AAC76190.1,yhbS
AAT48228.1,tatB
AAC73485.1,iraP
AAC76234.1,rpoN
AAT48205.1,yieP
AAC73120.1,mog
AAC73574.1,recR
AAC76071.2,tolC
AAC73526.1,thiI
AAC73711.1,rnk
AAC73212.1,yacG
AAC76236.1,ptsN
AAC76373.1,slyX
AAC75656.1,trmD
AAC77335.1,deoA
AAC74358.1,acnA
AAC74753.2,sufB
AAC73330.1,dinJ
AAC73242.1,panD
AAC75327.1,elaA
AAC77220.1,yjgR
AAC73843.1,galM
AAC77341.1,serB
AAC75088.2,wzzB
AAC74166.1,flgK
AAC74018.1,pepN
AAC74592.1,tam
AAC73468.2,tauA
AAC74271.1,fadR
AAC73724.1,cspE
AAC73220.1,nadC
AAC73866.1,uvrB
AAC73486.2,phoA
AAC76382.1,crp
AAC74210.1,potA
AAC77356.1,yjtD
AAC75554.1,ppk
AAC74971.1,araF
AAC76765.1,mioC
AAC76410.1,gph
AAC74959.1,motB
AAC77324.1,rsmC
AAC74167.1,flgL
AAC74756.1,menI
AAC76575.3,bisC
AAC73780.1,ybfF
AAC73772.1,nagB
AAC77023.1,alr
AAC73896.1,glnQ
AAC76969.1,rsd
AAC76047.1,yqhD
AAC73232.1,speE
AAC74877.1,tsaB
AAC75575.2,sseB
AAC75390.2,prmB
AAC77179.1,ytfP
AAC75380.1,pdxB
AAC76965.2,thiG
AAC73734.1,rlpA
AAC74353.1,yciK
AAC74381.1,puuR
AAC77122.2,orn
AAC76285.1,yhdH
AAC74857.1,yeaK
AAC74809.1,osmE
AAC74278.1,ycgR
AAC74135.2,msyB
AAC76907.1,glpX
AAC76971.1,hemE
AAC75649.1,tyrA
AAC74799.1,tcyP
AAC73872.1,moaE
AAC77029.1,ssb
AAC77131.1,hflK
AAC75577.1,iscX
AAC75581.1,iscA
AAC75633.1,ung
AAC76615.1,selA
AAC74824.2,ynjB
AAC76472.1,ggt
AAC74552.2,maeA
AAC74774.1,aroH
AAC77308.2,yjiA
AAC75294.1,nrdA
AAC74364.2,yciH
AAC75996.2,yggL
AAC74201.2,lolD
AAC76089.1,glnE
AAC77316.2,yjjA
AAC75605.1,hmp
AAC77095.2,yjdC
AAC74707.1,gstA
AAC76914.1,hslV
AAC76856.1,yihD
AAC73846.1,galE
AAC75005.1,fliF
AAC74994.1,amyA
AAC77148.1,ulaR
AAC75350.1,alaA
AAC73859.1,ybhC
AAC74335.1,yciA
AAC74163.1,flgH
AAC73752.1,rihA
AAC75585.1,trmJ
AAC77306.2,hsdR
AAC76632.1,gpsA
AAC74088.1,yccJ
AAC76497.2,dcrB
AAC74837.1,ansA
AAC75126.1,dcd
AAC74940.1,cmoA
AAC77346.1,trpR
AAT48193.1,avtA
AAC77028.1,uvrA
AAC74159.1,flgD
AAC73708.1,uspG
AAC75322.1,menB
ABD18704.1,yibT
AAC73938.1,nfsA
AAC77343.2,nadR
AAC73492.1,yaiA
AAC76810.1,cyaY
AAC75295.1,nrdB
AAC73343.1,frsA
AAC73500.1,sbcC
AAC74797.1,hxpB
AAC75524.1,yffB
AAC76920.1,metJ
AAC73288.1,bamA
AAC74637.1,relB
AAC73162.1,rsmA
AAC75861.1,recC
AAC74376.1,sapA
AAT48245.1,yjgM
AAC73537.2,yajG
AAC74723.1,gloA
AAC74881.1,yoaH
AAC74694.1,malY
AAC77209.2,tabA
AAC75719.2,ygaM
AAC76279.2,rng
AAC76630.1,trmL
AAC73160.1,apaH
AAC74405.1,tyrR
AAC76915.1,ftsN
AAC75464.1,ligA
AAC76306.1,aroE
AAC76664.1,aroE
AAC74838.2,pncA
AAC74945.2,yecM
AAC75192.1,osmF
AAC76525.1,gor
AAC75627.1,nadB
AAC74458.2,uspF
AAC73568.1,ybaM
AAC76464.1,yhhW
AAC74366.1,yciT
AAC74438.1,racR
AAC74912.1,holE
AAC76140.1,yhaJ
AAC75154.1,gatB
AAC75345.1,nuoE
AAC73579.1,gsk
AAC76904.1,yiiS
AAC76952.1,coaA
AAC74017.1,pncB
AAC75570.1,rlmN
AAC74589.1,lsrB
AAC74710.1,pdxH
AAC76892.2,yiiM
AAC73290.1,lpxD
AAC76729.1,mnmE
AAC73624.1,purK
AAC73953.1,ybjQ
AAC74530.1,mnaT
AAC77347.2,yjjX
AAC76637.2,envC
AAC75072.1,sbcB
AAC75644.1,bamD
AAC74682.1,tus
AAC75840.2,ygdG
AAC75099.1,rfbC
AAC75569.1,rodZ
AAC76866.1,glnL
AAC76312.1,def
AAC75525.1,dapE
AAC75528.1,ypfJ
AAC74937.2,yecD
AAC73870.1,moaC
AAC75846.1,fucU
AAC75344.1,nuoF
AAC76264.1,zapE
AAC77339.1,lplA
AAC76129.2,exuR
AAC76181.1,lpoA
AAC75983.2,rsmE
AAC76258.1,nanR
AAC74035.1,uup
AAC76489.1,ftsY
AAC75853.1,csdE
AAC76917.1,priA
AAC76710.1,ibpA
AAC76024.1,gss
AAC76566.1,dppD
AAC73508.1,queA
AAC77278.1,uxuA
AAC76727.1,rnpA
AAC74161.1,flgF
AAC74330.2,yciU
AAC74140.1,yceI
AAC73448.1,lacI
AAC76414.1,aroB
AAC75363.1,folX
AAC73837.1,nadA
AAT48238.1,nudC
AAC76528.1,arsC
AAC75723.1,nrdF
AAC75353.2,hxpA
AAC77104.2,yjeI
AAC73197.1,murF
AAC75362.1,yfcG
AAC76659.1,mutM
AAC76905.1,uspD
AAC74416.1,fnr
AAC75947.2,ygfB
AAC73230.2,yacL
AAC75709.1,gabT
AAC76119.2,rlmG
AAC73479.1,ampH
AAC76631.1,cysE
AAC73136.1,ribF
AAC76422.1,nudE
AAC73524.1,ispA
AAC73572.1,dnaX
AAC75510.2,eutM
AAC75361.1,yfcF
AAC75204.1,cdd
AAC75835.1,syd
AAC73291.1,fabZ
AAC73311.1,gmhB
AAC74218.1,nudJ
AAC76973.1,yjaG
AAC75520.1,nudK
AAC73300.2,rof
AAC73705.2,dsbG
AAC75220.1,nfo
AAC76280.1,yhdE
AAC75007.2,fliH
AAC76854.2,mobB
AAC76094.2,folB
AAT48134.1,ydhF
AAC76846.1,ubiD
AAC74488.1,pdxI
AAC76431.2,greB
AAC75619.1,era
AAC76053.1,ftsP
AAC76037.1,gpr
AAC76535.1,hdeA
AAC73522.2,yajO
AAC74283.1,dhaL
AAC77125.1,tsaE
AAC76070.1,nudF
AAC74334.1,tonB
AAC75230.1,fruB
AAC73562.1,hha
AAC73687.1,entF
AAC75832.1,yqcA
AAC77168.1,qorB
AAC74978.1,yecA
AAC76106.1,nfeR
AAC76775.1,rbsK
AAT48172.1,arcB
AAC76815.1,yigB
AAC73253.1,folK
AAC76102.1,dnaG
AAC74906.2,yebV
AAC75253.1,narP
AAC77326.1,rimI
AAC75580.1,hscB
AAC75419.1,yfdQ
AAC74039.1,rmf
AAC75277.1,rcsB
AAC75953.1,argP
AAC76377.1,yheS
AAC73192.1,mraZ
AAC76624.1,mtlD
AAC76066.1,parE
AAC76104.1,mug
AAC77236.2,nanY
AAC74543.1,pptA
AAC74705.1,nth
AAC74379.2,puuA
AAC76073.3,ygiB
AAC73517.1,ribD
AAC76233.1,lptB
AAC75037.1,msrP
AAC75006.1,fliG
AAC73314.1,yafD
AAC76495.1,tusA
AAC74197.1,ldtC
AAC76857.1,srkA
AAC76823.2,yigI
AAC73327.1,yafJ
AAC75532.2,gcvR
AAC73201.1,murG
AAC73312.1,dkgB
AAC76002.2,speC
AAC74384.1,puuE
AAC75008.1,fliI
AAC75944.1,ubiI
AAC76724.1,dnaN
AAC77013.1,lexA
AAC74566.1,gadB
AAC77266.2,nanM
AAC75488.1,amiA
AAC75487.2,ypeA
AAC75270.1,mqo
AAC74339.1,yciE
AAC73848.1,modE
AAC77114.1,frdA
AAC73833.1,tolA
AAC76480.1,livG
AAC75837.1,ppnN
AAC75742.1,pncC
AAC74380.2,puuD
AAC74503.1,trg
AAC76209.2,folP
AAC76363.1,chiA
AAC74712.1,anmK
AAC75471.1,pdxK
AAC74598.2,sad
AAC76771.2,rbsD
AAC74184.1,ycfH
AAC76454.1,glgA
AAC76479.2,livF
AAC75852.1,csdA
AAC76276.1,tldD
AAC76635.1,yibN
AAC76291.1,prmA
AAC74880.2,yoaC
AAC73214.1,coaE
AAC74407.2,ycjG
AAC76937.1,eptC
AAC76184.1,dolP
AAC74182.1,tmk
AAC75201.1,dusC
AAC77173.1,ytfJ
AAC76465.1,yhhX
AAC74581.1,hipB
AAC77129.1,hfq
AAC74531.4,curA
AAC73223.1,aroP
AAC74793.1,pfkB
AAC73729.1,lipA
AAC73845.1,galT
AAC75078.2,yefM
AAC74203.1,nagK
AAC74229.1,ymfK
AAC76794.1,rffH
AAC74156.1,flgA
AAC74000.1,msbA
AAC74007.1,cmoM
AAC75027.1,dcm
AAC76457.1,glgB
AAC73117.1,yaaA
AAC73506.2,malZ
AAC75378.1,truA
AAC73891.2,ybiX
AAC74352.1,btuR
AAC74944.2,cutC
AAC73672.1,cusR
AAC74276.1,ldcA
AAC73447.1,lacZ
AAC74145.1,dinI
AAC77158.1,priB
AAC73617.1,allE
AAC73493.1,aroM
AAC73415.1,betB
AAC75217.1,lysP
AAC73259.2,hrpB
AAC74382.1,puuC
AAC75973.2,loiP
AAC74851.1,yeaE
AAC77307.1,mrr
AAC74889.2,manZ
AAD13446.2,csqR
AAC74517.2,rlhA
AAC76712.3,yidR
AAC74733.1,cfa
AAC73834.1,tolB
AAC75789.1,ispD
AAC74281.1,treA
AAT48214.2,rffC
AAC75685.1,yfjT
AAC75756.2,ascG
AAC77090.1,lysU
AAC76214.1,dacB
AAC73666.1,ompT
AAC74327.1,oppC
AAC74265.3,ycgN
AAC76517.1,yhiN
AAC76640.1,tdh
AAC76864.2,hemN
AAC76945.2,hemN
AAC74301.1,chaB
AAC77251.2,yjhU
AAC74099.1,putA
AAC75489.1,hemF
AAC74104.1,efeB
AAC74482.1,paaY
AAC74341.2,yciG
AAC76728.1,yidC
AAC73320.1,dnaQ
AAC75010.1,fliK
AAC76305.1,yrdB
AAC73860.1,ybhB
AAC75309.1,yfaY
AAC73126.1,dnaJ
AAC73744.1,ybeL
AAC74991.1,fliD
AAC76837.1,ubiJ
AAC74609.1,ydeI
AAC75492.1,eutL
AAC73978.1,rarA
AAC76127.1,uxaC
AAC75854.1,tcdA
AAC76501.1,nikA
AAC73831.1,tolQ
AAC74504.2,ydcI
AAC74995.1,yedD
AAC76950.1,murB
AAC75718.1,ygaC
AAC73987.1,ycaK
AAC77128.1,miaA
AAC75229.1,fruK
AAC73763.1,ubiF
