Condition,BelowLOD,Cell,Element,Distance,ScaleDist,ScaleCounts,Error
Minimal,0,1,MO,138.2258168443176,354.0,9.086029995663981,1000
Minimal,0,0,MO,49.938610662358656,354.0,9.086029995663981,1000
Minimal,0,1,SE,118.6042003231018,354.0,9.086029995663981,1000
Minimal,0,0,SE,57.0796643567335,354.0,9.086029995663981,1000
Minimal,0,1,ZN,205.1069466790452,354.0,9.086029995663981,55212.92217327462
Minimal,0,0,ZN,82.48002627203796,354.0,9.086029995663981,1000
Minimal,0,1,CU,149.8158319870759,354.0,9.086029995663981,1000
Minimal,0,0,CU,70.44911147011311,354.0,9.086029995663981,1000
Minimal,1,1,NI,137.33117932148625,354.0,9.086029995663981,1000
Minimal,0,0,NI,50.83037156704364,354.0,9.086029995663981,1000
Minimal,1,1,CO,103.44810866904857,354.0,9.086029995663981,1000
Minimal,1,0,CO,25.861066235864257,354.0,9.086029995663981,1000
Minimal,0,1,FE,203.32148626817445,354.0,9.086029995663981,24669.603524228995
Minimal,1,0,FE,99.88193861066241,354.0,9.086029995663981,1000
Minimal,0,1,MN,135.08885298869143,354.0,9.086029995663981,1000
Minimal,0,0,MN,51.72213247172863,354.0,9.086029995663981,1000
Minimal,0,1,CR,122.17124394184168,354.0,9.086029995663981,1000
Minimal,0,0,CR,90.95961227786756,354.0,9.086029995663981,1000
Minimal,0,1,V,113.25363489499193,354.0,9.086029995663981,1000
Minimal,0,0,V,50.838193429299224,354.0,9.086029995663981,1000
Minimal,0,1,CA,206.88852988691437,354.0,9.086029995663981,49339.20704845819
Minimal,0,0,CA,140.00646203554123,354.0,9.086029995663981,1000
Minimal,0,1,K,325.49395179800416,354.0,9.086029995663981,1000
Minimal,0,0,K,321.92692171481366,354.0,9.086029995663981,1000
Minimal,0,1,MG,298.7412340529268,354.0,9.086029995663981,19444444.4
Minimal,0,0,MG,234.53311793214866,354.0,9.086029995663981,1000
Rich,0,1,MO,146.24878836833602,353.14,9.306059991327963,1000
Rich,0,0,MO,97.20602917094236,353.14,9.306059991327963,1000
Rich,0,1,SE,152.49372216686356,353.14,9.306059991327963,1000
Rich,0,0,SE,65.99633208314879,353.14,9.306059991327963,1000
Rich,0,1,ZN,207.7879452506475,353.14,9.306059991327963,88105.72687224665
Rich,0,0,ZN,159.62769287142305,353.14,9.306059991327963,1000
Rich,0,1,CU,181.91922455573504,353.14,9.306059991327963,29368.57562408218
Rich,0,0,CU,84.71728594507266,353.14,9.306059991327963,1000
Rich,1,1,NI,125.73828756058157,353.14,9.306059991327963,1000
Rich,0,0,NI,80.25848142164779,353.14,9.306059991327963,1000
Rich,1,1,CO,91.85137318255249,353.14,9.306059991327963,100
Rich,0,0,CO,85.61369131181726,353.14,9.306059991327963,100
Rich,0,1,FE,214.91437802907916,353.14,9.306059991327963,128046.98972099856
Rich,0,0,FE,146.25150712631125,353.14,9.306059991327963,1000
Rich,0,1,MN,171.22041597778912,353.14,9.306059991327963,12922.173274596222
Rich,0,0,MN,86.50540433800751,353.14,9.306059991327963,1000
Rich,0,1,CR,126.63004846526655,353.14,9.306059991327963,1000
Rich,0,0,CR,137.3340746185787,353.14,9.306059991327963,1000
Rich,0,1,V,82.04200323101776,353.14,9.306059991327963,1000
Rich,0,0,V,123.9547657512116,353.14,9.306059991327963,1000
Rich,0,1,CA,206.8885298869144,353.14,9.306059991327963,131571.2187958883
Rich,0,0,CA,204.21324717285944,353.14,9.306059991327963,1000
Rich,0,1,K,313.8998384491115,353.14,9.306059991327963,19444444.4
Rich,0,0,K,281.7964458804523,353.14,9.306059991327963,62301587.30
Rich,0,1,MG,297.8481421647819,353.14,9.306059991327963,1000
Rich,0,0,MG,199.75643317725053,353.14,9.306059991327963,1000